Price,Close,High,Low,Open,Volume
Ticker,^IXF,^IXF,^IXF,^IXF,^IXF
Date,,,,,
2024-08-27,5921.31005859375,5923.56982421875,5885.85986328125,5894.91015625,0
2024-08-28,5914.490234375,5944.6201171875,5881.52001953125,5909.919921875,0
2024-08-29,5940.60986328125,5978.72021484375,5907.169921875,5948.66015625,0
2024-08-30,5981.5,5984.6298828125,5918.75,5957.2900390625,0
2024-09-03,5880.8798828125,5949.27001953125,5860.419921875,5930.93017578125,0
2024-09-04,5866.9501953125,5909.240234375,5847.7001953125,5877.77978515625,0
2024-09-05,5847.7998046875,5893.47998046875,5820.58984375,5892.919921875,0
2024-09-06,5734.0400390625,5872.2998046875,5723.0400390625,5851.31982421875,0
2024-09-09,5782.5,5819.759765625,5763.8701171875,5771.240234375,0
2024-09-10,5756.669921875,5778.83984375,5688.16015625,5778.83984375,0
2024-09-11,5729.9501953125,5734.7998046875,5619.52001953125,5723.4501953125,0
2024-09-12,5777.080078125,5778.93994140625,5715.89990234375,5745.990234375,0
2024-09-13,5855.60986328125,5856.259765625,5807.39013671875,5812.72998046875,0
2024-09-16,5910.68994140625,5923.22998046875,5852.259765625,5863.3798828125,0
2024-09-17,5945.5,5990.8701171875,5918.080078125,5935.85986328125,0
2024-09-18,5944.4501953125,6024.6298828125,5923.6298828125,5952.2099609375,0
2024-09-19,6001.759765625,6036.740234375,5970.27978515625,6036.740234375,0
2024-09-20,5944.6201171875,6002.5,5933.330078125,6001.66015625,0
2024-09-23,5956.75,5987.0498046875,5952.830078125,5971.33984375,0
2024-09-24,5951.10986328125,5977.5,5926.56982421875,5977.41015625,0
2024-09-25,5900.08984375,5959.5400390625,5896.47998046875,5955.25,0
2024-09-26,5951.0400390625,5961.33984375,5930.35986328125,5942.52001953125,0
2024-09-27,5987.47998046875,6018.5498046875,5955.43017578125,5980.8701171875,0
2024-09-30,5997.18017578125,6004.7900390625,5948.080078125,5979.6201171875,0
2024-10-01,5933.2998046875,5987.47998046875,5900.97021484375,5987.3701171875,0
2024-10-02,5943.509765625,5965.2998046875,5925.47021484375,5931.3701171875,0
2024-10-03,5952.6298828125,5956.18994140625,5905.81005859375,5919.330078125,0
2024-10-04,6060.14013671875,6060.740234375,5997.64990234375,6017.7900390625,0
2024-10-07,5987.169921875,6060.91015625,5958.47998046875,6059.39013671875,0
2024-10-08,6012.08984375,6026.3798828125,5991.18017578125,5991.18017578125,0
2024-10-09,6066.8701171875,6081.10009765625,5997.5400390625,6003.22998046875,0
2024-10-10,6057.10986328125,6066.5498046875,6034.39990234375,6061.72021484375,0
2024-10-11,6169.56005859375,6175.85986328125,6080.41015625,6080.72021484375,0
2024-10-14,6246.58984375,6251.5400390625,6162.8701171875,6189.31982421875,0
2024-10-15,6247.7998046875,6333.35986328125,6246.0,6260.2001953125,0
2024-10-16,6326.10986328125,6339.41015625,6275.10009765625,6278.64990234375,0
2024-10-17,6332.31982421875,6341.72021484375,6307.39990234375,6332.68017578125,0
2024-10-18,6363.60009765625,6369.89990234375,6333.97998046875,6352.31982421875,0
2024-10-21,6271.56982421875,6352.56005859375,6263.830078125,6347.52001953125,0
2024-10-22,6259.080078125,6268.27001953125,6236.81005859375,6252.22021484375,0
2024-10-23,6238.43994140625,6278.0400390625,6195.22021484375,6260.22021484375,0
2024-10-24,6267.3701171875,6272.0,6225.8701171875,6252.47021484375,0
2024-10-25,6191.64013671875,6282.81982421875,6174.39013671875,6277.14013671875,0
2024-10-28,6307.759765625,6321.72998046875,6241.56005859375,6242.6298828125,0
2024-10-29,6291.60986328125,6317.14013671875,6279.27001953125,6296.64990234375,0
2024-10-30,6311.490234375,6362.14990234375,6270.2001953125,6270.2001953125,0
2024-10-31,6154.64990234375,6286.830078125,6153.89013671875,6285.06982421875,0
2024-11-01,6124.990234375,6199.830078125,6117.72021484375,6175.43994140625,0
2024-11-04,6104.68017578125,6125.77978515625,6079.02978515625,6116.7998046875,0
2024-11-05,6198.18017578125,6200.419921875,6103.39013671875,6103.39013671875,0
2024-11-06,6699.81005859375,6701.240234375,6518.2001953125,6543.2001953125,0
2024-11-07,6606.66015625,6661.43994140625,6605.080078125,6660.33984375,0
2024-11-08,6686.91015625,6706.52001953125,6624.4501953125,6628.58984375,0
2024-11-11,6884.60986328125,6941.35986328125,6806.66015625,6810.7900390625,0
2024-11-12,6842.10986328125,6889.7001953125,6805.47021484375,6840.18994140625,0
2024-11-13,6753.68017578125,6897.4501953125,6752.31005859375,6874.0400390625,0
2024-11-14,6700.0498046875,6783.16015625,6692.990234375,6775.68994140625,0
2024-11-15,6752.43017578125,6757.81005859375,6690.0498046875,6716.5,0
2024-11-18,6819.8701171875,6829.6201171875,6752.85986328125,6756.72998046875,0
2024-11-19,6811.89990234375,6821.330078125,6735.330078125,6736.5,0
2024-11-20,6809.81005859375,6868.0400390625,6755.2099609375,6836.8701171875,0
2024-11-21,6838.5400390625,6886.4599609375,6793.10009765625,6851.16015625,0
2024-11-22,6946.31982421875,6951.4599609375,6836.47021484375,6839.68994140625,0
2024-11-25,7030.41015625,7086.56005859375,7010.47998046875,7013.27978515625,0
2024-11-26,7005.85986328125,7036.6298828125,6986.259765625,6996.64990234375,0
2024-11-27,7043.06005859375,7088.06005859375,7015.7900390625,7062.58984375,0
2024-11-29,7006.52001953125,7077.18994140625,7005.0,7068.81982421875,0
2024-12-02,6945.06005859375,7024.6298828125,6943.6298828125,7019.22021484375,0
2024-12-03,6949.6201171875,6974.75,6921.39990234375,6954.009765625,0
2024-12-04,7008.240234375,7009.1298828125,6939.89990234375,6955.91015625,0
2024-12-05,6979.5400390625,7085.830078125,6976.91015625,7050.009765625,0
2024-12-06,6998.0498046875,7018.97998046875,6953.9599609375,7008.1298828125,0
2024-12-09,6864.43017578125,7012.58984375,6862.72021484375,7008.919921875,0
2024-12-10,6804.25,6867.580078125,6800.06982421875,6864.4501953125,0
2024-12-11,6848.43017578125,6871.31005859375,6839.35009765625,6855.14013671875,0
2024-12-12,6823.47998046875,6885.68017578125,6819.35986328125,6850.0498046875,0
2024-12-13,6814.60009765625,6841.66015625,6797.97021484375,6829.7900390625,0
2024-12-16,6851.7099609375,6879.2001953125,6819.14013671875,6841.419921875,0
2024-12-17,6766.18994140625,6826.240234375,6749.47998046875,6819.16015625,0
2024-12-18,6459.06982421875,6775.330078125,6446.1201171875,6772.7001953125,0
2024-12-19,6448.990234375,6583.81982421875,6446.47021484375,6534.89013671875,0
2024-12-20,6550.06005859375,6586.75,6387.68017578125,6389.330078125,0
