Price,Close,High,Low,Open,Volume
Ticker,^CMC200,^CMC200,^CMC200,^CMC200,^CMC200
Date,,,,,
2024-03-25,1496.0980224609375,1520.83203125,1390.7449951171875,1400.3480224609375,0
2024-03-26,1502.0909423828125,1529.988037109375,1486.6500244140625,1505.4000244140625,0
2024-03-27,1481.6939697265625,1531.1290283203125,1464.8079833984375,1504.4610595703125,0
2024-03-28,1476.1689453125,1515.1099853515625,1466.8199462890625,1485.2939453125,0
2024-04-02,1371.365966796875,1371.365966796875,1366.083984375,1367.7239990234375,0
2024-04-03,1377.5830078125,1377.9029541015625,995.4979858398438,1373.27001953125,0
2024-04-04,1454.3990478515625,1455.6409912109375,1447.3299560546875,1450.7080078125,0
2024-04-05,1463.7139892578125,1479.29296875,1020.9190063476562,1450.7080078125,0
2024-04-08,1556.3499755859375,1557.302978515625,1554.89599609375,1555.75,0
2024-04-09,1501.5369873046875,1501.5579833984375,1496.9439697265625,1497.7130126953125,0
2024-04-10,1547.48095703125,1551.64697265625,1532.324951171875,1532.324951171875,0
2024-04-11,1522.0009765625,1522.0009765625,1520.657958984375,1521.5400390625,0
2024-04-12,1446.718994140625,1542.7220458984375,1413.0450439453125,1521.5400390625,0
2024-04-15,1317.1429443359375,1388.885986328125,1299.613037109375,1320.5250244140625,0
2024-04-16,1363.8409423828125,1370.0140380859375,1362.387939453125,1370.0140380859375,0
2024-04-17,1277.291015625,1278.2969970703125,1269.447998046875,1271.9119873046875,0
2024-04-18,1312.9859619140625,1314.08203125,1307.64501953125,1312.8780517578125,0
2024-04-19,1373.0560302734375,1390.0780029296875,1234.8709716796875,1312.8780517578125,0
2024-04-22,1406.8050537109375,1408.260009765625,1403.2919921875,1403.2919921875,0
2024-04-23,1429.7349853515625,1430.27197265625,1427.60595703125,1427.7840576171875,0
2024-04-24,1383.8050537109375,1390.865966796875,1383.8050537109375,1390.7950439453125,0
2024-04-25,1395.7679443359375,1397.83203125,1395.2650146484375,1397.83203125,0
2024-04-26,1331.074951171875,1397.83203125,1319.0830078125,1397.83203125,0
2024-04-29,1333.2769775390625,1333.85595703125,1318.0260009765625,1318.43505859375,0
2024-04-30,1298.35400390625,1303.1500244140625,1287.0970458984375,1287.1719970703125,0
2024-05-02,1266.0140380859375,1281.4759521484375,858.343994140625,1270.6490478515625,0
2024-05-03,1363.862060546875,1363.862060546875,1269.258056640625,1274.9210205078125,0
2024-05-06,1367.2509765625,1368.85498046875,1366.6319580078125,1368.85498046875,0
2024-05-07,1307.0260009765625,1307.9229736328125,1301.5450439453125,1307.907958984375,0
2024-05-08,1303.6290283203125,1308.5689697265625,1300.9210205078125,1307.446044921875,0
2024-05-09,1353.2259521484375,1353.2259521484375,1345.001953125,1345.18701171875,0
2024-05-10,1253.7760009765625,1361.342041015625,1249.1070556640625,1345.18701171875,0
2024-05-13,1290.237060546875,1294.31298828125,1290.237060546875,1293.3990478515625,0
2024-05-14,1269.468017578125,1269.7769775390625,1267.291015625,1269.5250244140625,0
2024-05-15,1393.7469482421875,1395.4010009765625,1389.531982421875,1389.5989990234375,0
2024-05-16,1373.18603515625,1376.251953125,1370.5770263671875,1376.251953125,0
2024-05-17,1364.802001953125,1400.0150146484375,976.2509765625,1376.251953125,0
2024-05-20,1488.10498046875,1494.2530517578125,1485.22998046875,1487.93701171875,0
2024-05-21,1522.8360595703125,1523.697021484375,1513.1590576171875,1513.1590576171875,0
2024-05-22,1504.2860107421875,1512.6920166015625,1504.2860107421875,1512.614990234375,0
2024-05-23,1466.6689453125,1475.56005859375,1466.6689453125,1475.446044921875,0
2024-05-24,1442.4820556640625,1475.56005859375,634.47998046875,1475.446044921875,0
2024-05-27,1498.4219970703125,1500.761962890625,1497.2449951171875,1500.761962890625,0
2024-05-28,1486.10595703125,1486.4339599609375,1481.427001953125,1481.5179443359375,0
2024-05-29,1456.2149658203125,1456.8780517578125,1452.9139404296875,1455.0140380859375,0
2024-05-30,1429.697021484375,1431.0980224609375,1428.3330078125,1430.9940185546875,0
2024-05-31,1420.85498046875,1447.9610595703125,1028.948974609375,1430.9940185546875,0
2024-06-03,1447.7679443359375,1448.2030029296875,1443.0279541015625,1447.31396484375,0
2024-06-04,1474.1810302734375,1476.487060546875,1473.5439453125,1474.321044921875,0
2024-06-05,1523.18798828125,1524.782958984375,1522.31201171875,1523.1009521484375,0
2024-06-06,1476.0989990234375,1477.0589599609375,1474.251953125,1474.85400390625,0
2024-06-07,1438.81494140625,1496.761962890625,1423.926025390625,1474.85400390625,0
2024-06-10,1443.7020263671875,1454.7979736328125,1435.85595703125,1449.115966796875,0
2024-06-11,1391.926025390625,1396.3580322265625,1391.926025390625,1392.8819580078125,0
2024-06-12,1413.60302734375,1417.251953125,1413.2900390625,1417.1689453125,0
2024-06-13,1417.93701171875,1422.2740478515625,1417.93701171875,1421.8170166015625,0
2024-06-14,1385.260009765625,1430.81298828125,1371.4139404296875,1421.8170166015625,0
2024-06-17,1389.4610595703125,1390.06494140625,1386.780029296875,1388.1829833984375,0
2024-06-18,1339.634033203125,1339.6949462890625,1335.1689453125,1338.3189697265625,0
